timestamp,face_count,fps
00:05:18,1,62.3
00:05:18,1,55.3
00:05:18,1,57.8
00:05:18,1,59.7
00:05:18,1,58.7
00:05:18,1,60.8
00:05:18,1,58.9
00:05:18,1,60.9
00:05:18,1,68.4
00:05:18,1,55.3
00:05:18,1,51.7
00:05:18,1,58.0
00:05:18,1,55.5
00:05:18,1,57.6
00:05:18,1,60.2
00:05:18,1,63.5
00:05:18,1,62.1
00:05:18,1,57.3
00:05:18,1,60.2
00:05:18,1,64.9
00:05:18,1,58.3
00:05:18,1,65.8
00:05:18,1,68.9
00:05:18,1,59.2
00:05:19,1,65.0
00:05:19,1,64.4
00:05:19,1,54.9
00:05:19,1,61.9
00:05:19,1,56.0
00:05:19,1,62.6
00:05:19,1,51.6
00:05:19,1,63.0
00:05:19,1,62.2
00:05:19,1,59.3
00:05:19,1,63.4
00:05:19,1,61.6
00:05:19,1,61.3
00:05:19,1,49.0
00:05:19,1,63.9
00:05:19,1,65.9
00:05:19,1,61.2
00:05:19,1,59.9
00:05:19,1,60.3
00:05:19,1,59.0
00:05:19,1,59.7
00:05:19,1,63.5
00:05:19,1,62.9
00:05:19,1,66.9
00:05:19,1,70.5
00:05:19,1,64.9
00:05:19,1,62.2
00:05:19,1,61.7
00:05:19,1,64.3
00:05:19,1,55.7
00:05:20,1,64.4
00:05:20,1,68.1
00:05:20,1,59.6
00:05:20,1,59.1
00:05:20,1,66.3
00:05:20,1,54.9
00:05:20,1,60.2
00:05:20,1,61.2
00:05:20,1,55.5
00:05:20,1,61.5
00:05:20,1,59.3
00:05:20,1,55.1
00:05:20,1,57.3
00:05:20,1,63.8
00:05:20,1,59.4
00:05:20,1,60.4
00:05:20,1,66.0
00:05:20,1,61.6
00:05:20,1,63.1
00:05:20,1,61.4
00:05:20,1,59.8
00:05:20,1,60.8
00:05:20,1,66.4
00:05:20,1,63.8
00:05:20,1,58.8
00:05:20,1,65.9
00:05:20,1,62.3
00:05:20,1,65.3
00:05:20,1,65.1
00:05:20,1,57.8
00:05:21,1,57.5
00:05:21,1,59.8
00:05:21,1,55.3
